location,hits,keyword,geo,gprop
Tempe,NA,fitness,US,web
Scottsdale,NA,fitness,US,web
Santa Ana,NA,fitness,US,web
Phoenix,100,fitness,US,web
El Paso,NA,fitness,US,web
Riverside,NA,fitness,US,web
Colorado Springs,NA,fitness,US,web
Mesa,NA,fitness,US,web
Orlando,NA,fitness,US,web
Arlington,NA,fitness,US,web
Providence,NA,fitness,US,web
Irvine,NA,fitness,US,web
Denver,85,fitness,US,web
San Diego,85,fitness,US,web
Albuquerque,NA,fitness,US,web
Columbus,84,fitness,US,web
Dallas,82,fitness,US,web
Cypress,NA,fitness,US,web
Long Beach,NA,fitness,US,web
Fort Worth,79,fitness,US,web
Tucson,NA,fitness,US,web
Aurora,NA,fitness,US,web
Altamonte Springs,NA,fitness,US,web
Philadelphia,76,fitness,US,web
Tampa,76,fitness,US,web
Pittsburgh,NA,fitness,US,web
Minneapolis,NA,fitness,US,web
Houston,72,fitness,US,web
Sacramento,NA,fitness,US,web
Portland,71,fitness,US,web
Hialeah,NA,fitness,US,web
Cincinnati,NA,fitness,US,web
Paradise,NA,fitness,US,web
Atlanta,68,fitness,US,web
Bakersfield,NA,fitness,US,web
Virginia Beach,NA,fitness,US,web
Chicago,68,fitness,US,web
Las Vegas,NA,fitness,US,web
Los Angeles,67,fitness,US,web
Charlotte,67,fitness,US,web
Lake Forest Park,NA,fitness,US,web
Indianapolis,NA,fitness,US,web
Plano,NA,fitness,US,web
Golden Valley,NA,fitness,US,web
Raleigh,64,fitness,US,web
Milwaukee,NA,fitness,US,web
Seattle,NA,fitness,US,web
Boston,NA,fitness,US,web
Memphis,NA,fitness,US,web
Kansas City,NA,fitness,US,web
Jacksonville,NA,fitness,US,web
St. Louis,NA,fitness,US,web
Yonkers,NA,fitness,US,web
Detroit,NA,fitness,US,web
San Antonio,60,fitness,US,web
New York,59,fitness,US,web
Omaha,NA,fitness,US,web
Nashville,NA,fitness,US,web
New Orleans,NA,fitness,US,web
Birmingham,NA,fitness,US,web
Louisville,NA,fitness,US,web
Austin,57,fitness,US,web
Baltimore,NA,fitness,US,web
Oklahoma City,NA,fitness,US,web
Ferris,NA,fitness,US,web
Washington,NA,fitness,US,web
San Jose,52,fitness,US,web
San Francisco,NA,fitness,US,web
Minneapolis,NA,sleep,US,web
Seattle,NA,sleep,US,web
Portland,100,sleep,US,web
Oklahoma City,NA,sleep,US,web
San Antonio,96,sleep,US,web
Colorado Springs,NA,sleep,US,web
Louisville,NA,sleep,US,web
Denver,NA,sleep,US,web
Fresno,NA,sleep,US,web
Baltimore,NA,sleep,US,web
Tucson,NA,sleep,US,web
Austin,93,sleep,US,web
Nashville,NA,sleep,US,web
St. Louis,NA,sleep,US,web
Albuquerque,NA,sleep,US,web
Virginia Beach,NA,sleep,US,web
Indianapolis,NA,sleep,US,web
Fort Worth,NA,sleep,US,web
El Paso,NA,sleep,US,web
San Francisco,NA,sleep,US,web
San Diego,90,sleep,US,web
Phoenix,90,sleep,US,web
Sacramento,NA,sleep,US,web
Pittsburgh,NA,sleep,US,web
San Jose,88,sleep,US,web
Boston,NA,sleep,US,web
Columbus,88,sleep,US,web
Chapmansboro,NA,sleep,US,web
Charlotte,87,sleep,US,web
Jacksonville,NA,sleep,US,web
Dallas,87,sleep,US,web
Milwaukee,NA,sleep,US,web
Las Vegas,NA,sleep,US,web
Aurora,NA,sleep,US,web
Raleigh,86,sleep,US,web
Birmingham,NA,sleep,US,web
Kansas City,NA,sleep,US,web
Chicago,85,sleep,US,web
Washington,NA,sleep,US,web
Los Angeles,85,sleep,US,web
Philadelphia,84,sleep,US,web
Plano,NA,sleep,US,web
Omaha,NA,sleep,US,web
Memphis,NA,sleep,US,web
New Orleans,NA,sleep,US,web
Lake Forest Park,NA,sleep,US,web
Tampa,NA,sleep,US,web
Atlanta,NA,sleep,US,web
Ferris,NA,sleep,US,web
Houston,79,sleep,US,web
New York,76,sleep,US,web
Yonkers,NA,sleep,US,web
Altamonte Springs,NA,sleep,US,web
Detroit,NA,sleep,US,web
Boston,100,WHOOP,US,web
San Francisco,58,WHOOP,US,web
Denver,NA,WHOOP,US,web
San Diego,52,WHOOP,US,web
Charlotte,NA,WHOOP,US,web
Atlanta,NA,WHOOP,US,web
Austin,47,WHOOP,US,web
Los Angeles,35,WHOOP,US,web
Phoenix,NA,WHOOP,US,web
Houston,31,WHOOP,US,web
Chicago,30,WHOOP,US,web
San Antonio,NA,WHOOP,US,web
Philadelphia,28,WHOOP,US,web
New York,26,WHOOP,US,web
