location,hits,keyword,geo,gprop
Oakland,0,meditation,US,web
Minneapolis,0,meditation,US,web
Portland,100,meditation,US,web
Long Beach,0,meditation,US,web
Seattle,90,meditation,US,web
Los Angeles,89,meditation,US,web
Boston,85,meditation,US,web
San Diego,85,meditation,US,web
Honolulu,0,meditation,US,web
Nashville,0,meditation,US,web
Jersey City,0,meditation,US,web
Tucson,0,meditation,US,web
San Francisco,80,meditation,US,web
Washington,80,meditation,US,web
New York,79,meditation,US,web
Albuquerque,0,meditation,US,web
Irvine,0,meditation,US,web
Denver,78,meditation,US,web
San Jose,76,meditation,US,web
Austin,76,meditation,US,web
Grafton,0,meditation,US,web
Lake Forest Park,0,meditation,US,web
Miami,0,meditation,US,web
Kansas City,0,meditation,US,web
Cleveland,0,meditation,US,web
Hyattsville,0,meditation,US,web
New Orleans,0,meditation,US,web
Colorado Springs,0,meditation,US,web
Phoenix,63,meditation,US,web
Buffalo,0,meditation,US,web
Tampa,0,meditation,US,web
Baltimore,0,meditation,US,web
Pittsburgh,0,meditation,US,web
Chicago,60,meditation,US,web
Sacramento,0,meditation,US,web
Yonkers,59,meditation,US,web
Louisville,0,meditation,US,web
Las Vegas,0,meditation,US,web
Philadelphia,57,meditation,US,web
Atlanta,0,meditation,US,web
St. Louis,0,meditation,US,web
Aurora,0,meditation,US,web
Milwaukee,0,meditation,US,web
Raleigh,53,meditation,US,web
Charlotte,52,meditation,US,web
Dallas,0,meditation,US,web
Omaha,0,meditation,US,web
Oklahoma City,0,meditation,US,web
Indianapolis,0,meditation,US,web
Detroit,0,meditation,US,web
Virginia Beach,0,meditation,US,web
Columbus,0,meditation,US,web
Memphis,0,meditation,US,web
Jacksonville,0,meditation,US,web
Altamonte Springs,0,meditation,US,web
El Paso,0,meditation,US,web
San Antonio,0,meditation,US,web
Fort Worth,0,meditation,US,web
Houston,41,meditation,US,web
Plano,0,meditation,US,web
Ferris,0,meditation,US,web
Honolulu,0,exercise,US,web
Minneapolis,0,exercise,US,web
Fresno,0,exercise,US,web
Durham,0,exercise,US,web
New York,100,exercise,US,web
Seattle,0,exercise,US,web
San Jose,97,exercise,US,web
Fort Collins,0,exercise,US,web
Washington,0,exercise,US,web
Tucson,0,exercise,US,web
El Paso,0,exercise,US,web
San Diego,91,exercise,US,web
Jacksonville,90,exercise,US,web
Raleigh,89,exercise,US,web
Portland,89,exercise,US,web
Louisville,0,exercise,US,web
Virginia Beach,0,exercise,US,web
Boston,0,exercise,US,web
Long Beach,0,exercise,US,web
Albuquerque,0,exercise,US,web
Las Vegas,0,exercise,US,web
Phoenix,87,exercise,US,web
Sacramento,0,exercise,US,web
San Francisco,0,exercise,US,web
Baltimore,0,exercise,US,web
Yonkers,84,exercise,US,web
Pittsburgh,0,exercise,US,web
Los Angeles,83,exercise,US,web
Omaha,0,exercise,US,web
Charlotte,82,exercise,US,web
Denver,0,exercise,US,web
Colorado Springs,0,exercise,US,web
Chicago,81,exercise,US,web
Nashville,0,exercise,US,web
Indianapolis,0,exercise,US,web
San Antonio,79,exercise,US,web
Fort Worth,0,exercise,US,web
Philadelphia,78,exercise,US,web
Austin,78,exercise,US,web
Hyattsville,0,exercise,US,web
Houston,77,exercise,US,web
Dallas,76,exercise,US,web
Memphis,0,exercise,US,web
Columbus,75,exercise,US,web
Mesa,0,exercise,US,web
Oklahoma City,0,exercise,US,web
Milwaukee,0,exercise,US,web
Tampa,0,exercise,US,web
Atlanta,72,exercise,US,web
Aurora,0,exercise,US,web
Kansas City,0,exercise,US,web
St. Louis,0,exercise,US,web
Lake Forest Park,0,exercise,US,web
Plano,67,exercise,US,web
Detroit,0,exercise,US,web
Ferris,0,exercise,US,web
Washington,0,Peleton,US,web
Boston,100,Peleton,US,web
Philadelphia,65,Peleton,US,web
Chicago,64,Peleton,US,web
Yonkers,61,Peleton,US,web
New York,60,Peleton,US,web
San Diego,59,Peleton,US,web
Los Angeles,55,Peleton,US,web
Houston,30,Peleton,US,web
Boston,100,WHOOP,US,web
Denver,0,WHOOP,US,web
Atlanta,44,WHOOP,US,web
San Diego,43,WHOOP,US,web
Austin,40,WHOOP,US,web
Charlotte,0,WHOOP,US,web
Raleigh,0,WHOOP,US,web
Los Angeles,32,WHOOP,US,web
Phoenix,0,WHOOP,US,web
Philadelphia,29,WHOOP,US,web
Chicago,28,WHOOP,US,web
Houston,27,WHOOP,US,web
New York,26,WHOOP,US,web
New York,100,improve health,US,web
New York,100,health supplements,US,web
New York,100,time management,US,web
San Antonio,0,time management,US,web
Houston,75,time management,US,web
Los Angeles,73,time management,US,web
Chicago,59,time management,US,web
