state,hits,keyword,geo,gprop
Vermont,100,meditation,US,web
Maine,86,meditation,US,web
New Hampshire,83,meditation,US,web
Colorado,78,meditation,US,web
Massachusetts,76,meditation,US,web
District of Columbia,75,meditation,US,web
Rhode Island,73,meditation,US,web
Connecticut,73,meditation,US,web
Montana,72,meditation,US,web
Hawaii,70,meditation,US,web
New Jersey,69,meditation,US,web
Oregon,69,meditation,US,web
Utah,67,meditation,US,web
New York,67,meditation,US,web
New Mexico,64,meditation,US,web
Idaho,63,meditation,US,web
Maryland,61,meditation,US,web
California,61,meditation,US,web
Arizona,60,meditation,US,web
Alaska,59,meditation,US,web
Minnesota,59,meditation,US,web
Washington,58,meditation,US,web
Nevada,56,meditation,US,web
Pennsylvania,55,meditation,US,web
Florida,54,meditation,US,web
Wisconsin,54,meditation,US,web
Wyoming,52,meditation,US,web
Virginia,52,meditation,US,web
Delaware,51,meditation,US,web
Illinois,50,meditation,US,web
Michigan,48,meditation,US,web
Nebraska,47,meditation,US,web
Kansas,47,meditation,US,web
North Carolina,47,meditation,US,web
Iowa,44,meditation,US,web
Georgia,44,meditation,US,web
Missouri,44,meditation,US,web
Ohio,44,meditation,US,web
Kentucky,41,meditation,US,web
Texas,41,meditation,US,web
Louisiana,40,meditation,US,web
Tennessee,40,meditation,US,web
North Dakota,39,meditation,US,web
South Carolina,39,meditation,US,web
South Dakota,38,meditation,US,web
Oklahoma,38,meditation,US,web
Indiana,38,meditation,US,web
West Virginia,36,meditation,US,web
Alabama,35,meditation,US,web
Arkansas,33,meditation,US,web
Mississippi,31,meditation,US,web
Hawaii,100,exercise,US,web
Maryland,92,exercise,US,web
New Jersey,91,exercise,US,web
Vermont,90,exercise,US,web
New Mexico,88,exercise,US,web
Virginia,87,exercise,US,web
California,87,exercise,US,web
Rhode Island,86,exercise,US,web
Delaware,86,exercise,US,web
Massachusetts,85,exercise,US,web
New York,85,exercise,US,web
Connecticut,85,exercise,US,web
New Hampshire,85,exercise,US,web
Utah,84,exercise,US,web
North Carolina,82,exercise,US,web
Illinois,82,exercise,US,web
Pennsylvania,81,exercise,US,web
Arizona,81,exercise,US,web
West Virginia,80,exercise,US,web
Maine,78,exercise,US,web
Florida,78,exercise,US,web
District of Columbia,78,exercise,US,web
Nevada,78,exercise,US,web
Georgia,77,exercise,US,web
Washington,77,exercise,US,web
Michigan,77,exercise,US,web
Oregon,77,exercise,US,web
North Dakota,77,exercise,US,web
Nebraska,77,exercise,US,web
Ohio,76,exercise,US,web
Indiana,76,exercise,US,web
Missouri,76,exercise,US,web
Minnesota,76,exercise,US,web
Colorado,76,exercise,US,web
Kentucky,75,exercise,US,web
Wyoming,75,exercise,US,web
Mississippi,75,exercise,US,web
South Carolina,75,exercise,US,web
Wisconsin,74,exercise,US,web
Kansas,74,exercise,US,web
Iowa,74,exercise,US,web
Idaho,74,exercise,US,web
Tennessee,73,exercise,US,web
Alabama,73,exercise,US,web
South Dakota,72,exercise,US,web
Montana,72,exercise,US,web
Oklahoma,72,exercise,US,web
Louisiana,70,exercise,US,web
Alaska,70,exercise,US,web
Texas,69,exercise,US,web
Arkansas,69,exercise,US,web
District of Columbia,100,Peleton,US,web
Massachusetts,91,Peleton,US,web
New Jersey,69,Peleton,US,web
Connecticut,67,Peleton,US,web
New Hampshire,62,Peleton,US,web
Rhode Island,62,Peleton,US,web
New York,59,Peleton,US,web
Pennsylvania,53,Peleton,US,web
Maryland,52,Peleton,US,web
Colorado,48,Peleton,US,web
California,46,Peleton,US,web
Illinois,45,Peleton,US,web
Vermont,44,Peleton,US,web
Oregon,44,Peleton,US,web
Delaware,43,Peleton,US,web
Washington,42,Peleton,US,web
Virginia,42,Peleton,US,web
Maine,40,Peleton,US,web
Wyoming,40,Peleton,US,web
Michigan,39,Peleton,US,web
New Mexico,36,Peleton,US,web
Alaska,35,Peleton,US,web
Arizona,34,Peleton,US,web
Montana,34,Peleton,US,web
Georgia,32,Peleton,US,web
Texas,32,Peleton,US,web
North Carolina,32,Peleton,US,web
Nebraska,32,Peleton,US,web
Hawaii,31,Peleton,US,web
Minnesota,31,Peleton,US,web
Tennessee,29,Peleton,US,web
Utah,29,Peleton,US,web
Ohio,28,Peleton,US,web
Florida,27,Peleton,US,web
Wisconsin,27,Peleton,US,web
Kentucky,26,Peleton,US,web
Idaho,26,Peleton,US,web
Nevada,25,Peleton,US,web
South Dakota,24,Peleton,US,web
Iowa,23,Peleton,US,web
Oklahoma,22,Peleton,US,web
Alabama,21,Peleton,US,web
Arkansas,20,Peleton,US,web
South Carolina,20,Peleton,US,web
North Dakota,20,Peleton,US,web
Indiana,19,Peleton,US,web
Kansas,19,Peleton,US,web
Missouri,19,Peleton,US,web
West Virginia,18,Peleton,US,web
Louisiana,18,Peleton,US,web
Mississippi,6,Peleton,US,web
Massachusetts,100,WHOOP,US,web
District of Columbia,85,WHOOP,US,web
South Dakota,76,WHOOP,US,web
Alaska,73,WHOOP,US,web
Vermont,72,WHOOP,US,web
Idaho,67,WHOOP,US,web
Colorado,63,WHOOP,US,web
Connecticut,61,WHOOP,US,web
Utah,57,WHOOP,US,web
Nebraska,55,WHOOP,US,web
New Hampshire,52,WHOOP,US,web
Michigan,50,WHOOP,US,web
Tennessee,50,WHOOP,US,web
North Carolina,49,WHOOP,US,web
Arkansas,49,WHOOP,US,web
California,49,WHOOP,US,web
Virginia,49,WHOOP,US,web
Kentucky,47,WHOOP,US,web
Pennsylvania,47,WHOOP,US,web
Maine,47,WHOOP,US,web
Mississippi,47,WHOOP,US,web
New Jersey,47,WHOOP,US,web
Minnesota,46,WHOOP,US,web
New York,46,WHOOP,US,web
Montana,46,WHOOP,US,web
Florida,46,WHOOP,US,web
Rhode Island,45,WHOOP,US,web
Hawaii,45,WHOOP,US,web
Kansas,45,WHOOP,US,web
Texas,45,WHOOP,US,web
Georgia,45,WHOOP,US,web
Alabama,45,WHOOP,US,web
Washington,44,WHOOP,US,web
Iowa,44,WHOOP,US,web
Ohio,44,WHOOP,US,web
Indiana,44,WHOOP,US,web
Arizona,43,WHOOP,US,web
Oregon,43,WHOOP,US,web
Illinois,43,WHOOP,US,web
Maryland,42,WHOOP,US,web
Nevada,41,WHOOP,US,web
Oklahoma,41,WHOOP,US,web
Missouri,40,WHOOP,US,web
Wisconsin,40,WHOOP,US,web
South Carolina,40,WHOOP,US,web
North Dakota,36,WHOOP,US,web
Louisiana,36,WHOOP,US,web
Delaware,35,WHOOP,US,web
West Virginia,34,WHOOP,US,web
